file_path,vul_id,line_no,severity,vul_name
CWE111_Unsafe_JNI__console_01.java,111,55,3,Direct Use of Unsafe JNI
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01.java,113,33,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_02.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_03.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_04.java,113,41,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_05.java,113,41,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_06.java,113,39,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_07.java,113,39,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_08.java,113,62,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_09.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_10.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_11.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_12.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_13.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_14.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_15.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_16.java,113,45,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_17.java,113,38,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_21.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_22a.java,113,35,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_31.java,113,35,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_41.java,113,45,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_42.java,113,46,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_45.java,113,50,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_51a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_52a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_53a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_54a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_61a.java,113,35,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_66a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_67a.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_68a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_71a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_72a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_73a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_74a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_75a.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_81_bad.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_01.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_02.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_03.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_04.java,113,53,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_05.java,113,53,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_06.java,113,39,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_07.java,113,39,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_08.java,113,47,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_09.java,113,46,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_10.java,113,46,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_11.java,113,46,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_12.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_13.java,113,46,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_14.java,113,46,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_15.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_16.java,113,35,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_17.java,113,38,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_21.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_22a.java,113,35,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_31.java,113,35,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_41.java,113,44,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_42.java,113,43,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_45.java,113,49,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_51a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_52a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_53a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_54a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_61a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_66a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_67a.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_68a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_71a.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_72a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_73a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_74a.java,113,32,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_75a.java,113,36,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_81_bad.java,113,31,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_01.java,113,33,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_02.java,113,48,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_03.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_04.java,113,41,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_05.java,113,55,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_06.java,113,53,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_07.java,113,53,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_08.java,113,47,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_09.java,113,34,3,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Response Splitting')
CWE134_Uncontrolled_Format_String__Environment_format_01.java,134,34,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_02.java,134,30,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_03.java,134,30,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_04.java,134,37,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_05.java,134,37,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_06.java,134,35,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_07.java,134,35,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_08.java,134,43,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_09.java,134,30,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_10.java,134,44,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_11.java,134,44,1,Uncontrolled Format String
CWE134_Uncontrolled_Format_String__Environment_format_12.java,134,30,1,Uncontrolled Format String
